Date,Close
3/5/2015,49.54
3/6/2015,48.63
3/9/2015,48.79
3/10/2015,47.64
3/11/2015,47.63
3/12/2015,48.2
3/13/2015,47.83
3/16/2015,48.39
3/17/2015,48.36
3/18/2015,49.47
3/19/2015,48.89
3/20/2015,49.99
3/23/2015,50.04
3/24/2015,49.98
3/25/2015,49.77
3/26/2015,49.25
3/27/2015,49.45
3/30/2015,49.51
3/31/2015,48.74
4/1/2015,49.1
4/2/2015,49.47
4/6/2015,49.98
4/7/2015,49.97
4/8/2015,50.16
4/9/2015,50.25
4/10/2015,50.25
4/13/2015,49.96
4/14/2015,50.33
4/15/2015,50.51
4/16/2015,50.72
4/17/2015,50.08
4/20/2015,50.23
4/21/2015,50.49
4/22/2015,50.51
4/23/2015,50.93
4/24/2015,51.22
4/27/2015,51.54
4/28/2015,51.58
4/29/2015,51.23
4/30/2015,50.79
5/1/2015,51.14
5/4/2015,51.09
5/5/2015,50.42
5/6/2015,50.53
5/7/2015,50.22
5/8/2015,51.34
5/11/2015,50.91
5/12/2015,50.81
5/13/2015,51.06
5/14/2015,51.73
5/15/2015,51.81
5/18/2015,51.4
5/19/2015,51.09
5/20/2015,51.16
5/21/2015,51.63
5/22/2015,51.3
5/26/2015,50.33
5/27/2015,50.82
5/28/2015,50.58
5/29/2015,50.19
6/1/2015,49.9
6/2/2015,50.24
6/3/2015,50.5
6/4/2015,49.92
6/5/2015,49.35
6/8/2015,49.29
6/9/2015,48.94
6/10/2015,49.98
6/11/2015,50.21
6/12/2015,49.81
6/15/2015,49.37
6/16/2015,49.44
6/17/2015,49.42
6/18/2015,49.82
6/19/2015,49.76
6/22/2015,49.86
6/23/2015,49.95
6/24/2015,49.59
6/25/2015,49.48
6/26/2015,49.46
6/29/2015,48.07
6/30/2015,47.72
7/1/2015,47.84
7/2/2015,48.21
7/6/2015,47.11
7/7/2015,46.95
7/8/2015,46.09
7/9/2015,46.74
7/10/2015,48.47
7/13/2015,48.52
7/14/2015,48.84
7/15/2015,48.64
7/16/2015,49.17
7/17/2015,48.99
7/20/2015,49.13
7/21/2015,48.94
7/22/2015,48.5
7/23/2015,48.37
